date,keywords,headline,source,doc_type,web_url,news_desk,section,snippet,lead_paragraph
1999-04-25T00:00:00Z,"DJUKANOVIC, MILO; MILOSEVIC, SLOBODAN; GELBARD, ROBERT S; KOSOVO (SERBIA); SERBIA; MONTENEGRO; UNITED STATES INTERNATIONAL RELATIONS; INTERNATIONAL RELATIONS; POLITICS AND GOVERNMENT; BIOGRAPHICAL INFORMATION",Playing Chicken With Milosevic,The New York Times,article,http://www.nytimes.com/1999/04/25/magazine/playing-chicken-with-milosevic.html,Magazine Desk,Magazine; Washington,"Until Milo Djukanovic's new best friends in the United States and Western Europe began to drop bombs on Montenegro in late March, life had been going along swimmingly for the handsome young President of this Yugoslav republic.     Just 37 years old,...","Until Milo Djukanovic's new best friends in the United States and Western Europe began to drop bombs on Montenegro in late March, life had been going along swimmingly for the handsome young President of this Yugoslav republic. Just 37 years old, built like an N.F.L. linebacker, packaged in dark Italian suits, married to an attractive blonde and hailed by voters as Milo the Blade, Djukanovic (djew-KAHN-oh-vich) has been playing a deliciously wicked game of chicken with the Serbian dictator Slobodan Milosevic. Before bombs and cruise missiles began to rain on Yugoslavia, the Montenegrin President even seemed to be winning."
1999-04-28T00:00:00Z,NEW YORK TIMES; NEWSPAPERS; ADVERTISING; SMOKING AND TOBACCO,The New York Times Bans Cigarette Ads,The New York Times,article,http://www.nytimes.com/1999/04/28/business/the-new-york-times-bans-cigarette-ads.html,Business/Financial Desk,Business,"Joining a small group of newspapers, The New York Times will ban cigarette advertising in its pages, effective Saturday.    The newspaper decided to impose the ban because of concerns about the harmful effects of cigarette smoking, said Nancy...","Joining a small group of newspapers, The New York Times will ban cigarette advertising in its pages, effective Saturday. The newspaper decided to impose the ban because of concerns about the harmful effects of cigarette smoking, said Nancy Nielsen, a spokeswoman for The New York Times Company."
1999-05-08T00:00:00Z,"ARNETT, PETER; OLIVER, APRIL; SINGLAUB, JOHN K; CAMBODIA; CABLE NEWS NETWORK; BIOLOGICAL AND CHEMICAL WARFARE; SUSPENSIONS, DISMISSALS AND RESIGNATIONS; VIETNAM WAR; TELEVISION; SARIN (NERVE GAS); POISON GASES; SUITS AND LITIGATION; OPERATION TAILWIND; DESERTION; LIBEL AND SLANDER; NEWS AND NEWS MEDIA",Critic of Flawed CNN Report Is Named as a Source for It,The New York Times,article,http://www.nytimes.com/1999/05/08/us/critic-of-flawed-cnn-report-is-named-as-a-source-for-it.html,National Desk,U.S.,"A retired military officer who has been a leading critic of CNN's repudiated broadcast on the use of nerve gas against defectors in the Vietnam War was named yesterday as one of the confidential sources for the broadcast.    The officer, Maj. Gen....","A retired military officer who has been a leading critic of CNN's repudiated broadcast on the use of nerve gas against defectors in the Vietnam War was named yesterday as one of the confidential sources for the broadcast. The officer, Maj. Gen. John K. Singlaub, who in the late 1960's commanded a special forces unit in Vietnam, was identified as someone who had confirmed the charges contained in the broadcast in a lawsuit filed against him yesterday by April Oliver, the lead producer of the discredited report on a Vietnam mission known as Operation Tailwind."
1999-05-09T00:00:00Z,"BANZER, HUGO; COLOMBIA; BOLIVIA; BIOGRAPHICAL INFORMATION; COCAINE AND CRACK COCAINE; DRUG ABUSE AND TRAFFIC","Bolivia, at Risk of Some Unrest, Is Making Big Gains in Eradicating Coca",The New York Times,article,http://www.nytimes.com/1999/05/09/world/bolivia-at-risk-of-some-unrest-is-making-big-gains-in-eradicating-coca.html,Foreign Desk,World,"Ever since drought drove his family from a rocky cornfield high in the Andes 15 years ago, Espinosa Leon has been chopping down tropical rain forest to grow coca bushes, which  produce cocaine. Now, at 38, Mr. Leon finds himself at another...","Ever since drought drove his family from a rocky cornfield high in the Andes 15 years ago, Espinosa Leon has been chopping down tropical rain forest to grow coca bushes, which produce cocaine. Now, at 38, Mr. Leon finds himself at another crossroads. ''The army is coming any day to destroy my last coca,'' said Mr. Leon, who had already slashed three-quarters of his crop in recent months in exchange for aid from United Nations technicians forming a forestry project here. ''I don't have to like it, but coca has no future.''"
1999-05-09T00:00:00Z,KOSOVO (SERBIA); BELGRADE (SERBIA); SERBIA; CHINA; NORTH ATLANTIC TREATY ORGANIZATION; UNITED STATES INTERNATIONAL RELATIONS; UNITED STATES FOREIGN SERVICE; CHINA-INTERNATIONAL RELATIONS-US; FOREIGN SERVICE; DEMONSTRATIONS AND RIOTS,CHINA PROTESTERS RAGE AT AMERICA,The New York Times,article,http://www.nytimes.com/1999/05/09/world/crisis-in-the-balkans-china-china-protesters-rage-at-america.html,Foreign Desk,World; Washington,"Large, angry protests erupted around American Government offices in several cities after Chinese learned that NATO bombs had hit their embassy in Belgrade, killing at least three people sleeping inside. By this morning, the demonstration had left a...","Large, angry protests erupted around American Government offices in several cities after Chinese learned that NATO bombs had hit their embassy in Belgrade, killing at least three people sleeping inside. By this morning, the demonstration had left a consulate in flames and the embassy here in a state of siege with most of its windows broken by rocks. In Chengdu, in western China, several thousand protesters threw rocks and bottle-rockets, setting a consulate building on fire. The police used tear gas to disperse the crowd, said an embassy spokesman here."
1999-05-09T00:00:00Z,,Sports of The Times; Tax Is Funny Money For Wealthy Owners,The New York Times,article,http://www.nytimes.com/1999/05/09/sports/sports-of-the-times-tax-is-funny-money-for-wealthy-owners.html,Sports Desk,Sports,"BERNIE WILLIAMS thought he was back in the 60's. That's what the Yankee center fielder said in Kansas City on April 30 when 2,000 fans staged a polite little protest at the ball park.    Big deal. Nobody occupied the infield, trying to turn it into a...","BERNIE WILLIAMS thought he was back in the 60's. That's what the Yankee center fielder said in Kansas City on April 30 when 2,000 fans staged a polite little protest at the ball park. Big deal. Nobody occupied the infield, trying to turn it into a People's Park. No fans chained themselves to first base. No tear gas. No billy clubs. No arrests. Call that a protest? Call that the 60's?"
1999-05-12T00:00:00Z,VIETNAM; STANFORD UNIVERSITY; VIETNAM WAR; UNITED STATES INTERNATIONAL RELATIONS; DEMONSTRATIONS AND RIOTS; UNITED STATES ARMAMENT AND DEFENSE,Editorial Observer; Days of Protest and Remembrance at Stanford,The New York Times,article,http://www.nytimes.com/1999/05/12/opinion/editorial-observer-days-of-protest-and-remembrance-at-stanford.html,Editorial Desk,Opinion,"Stanford University is tranquil this spring, graced by the brilliant sunshine and eucalyptus fragrance that help give the campus its distinctive California accent. Long gone are the sights and sounds of my undergraduate days three decades ago --...","Stanford University is tranquil this spring, graced by the brilliant sunshine and eucalyptus fragrance that help give the campus its distinctive California accent. Long gone are the sights and sounds of my undergraduate days three decades ago -- windows shattering in the night, tear-gas canisters exploding, the president's office in flames. So it was with considerable curiosity that I returned to campus last weekend to attend a reunion of the anti-war movement that did so much to transform Stanford into a political battleground in the late 1960's. What, I wondered, had become of the students who spent their college years resisting the war in Vietnam and Stanford's links to it? What, if any, vestiges of the movement could be found on campus today?"
1999-05-16T00:00:00Z,FLORENCE (ITALY); SOCCER; DEMONSTRATIONS AND RIOTS,Twenty Injured In Riot in Florence,The New York Times,article,http://www.nytimes.com/1999/05/16/sports/plus-soccer-italy-twenty-injured-in-riot-in-florence.html,Sports Desk,Sports,"At least 20 people were injured, and one was reported in serious condition with stab wounds, following clashes between rival fans at the end of yesterday's Fiorentina-Lazio league game in Florence, police reported.     A Florentine man, stabbed in...","At least 20 people were injured, and one was reported in serious condition with stab wounds, following clashes between rival fans at the end of yesterday's Fiorentina-Lazio league game in Florence, police reported. A Florentine man, stabbed in the abdomen, was hospitalized to undergo surgery. Others, hit and bruised by bottles or rocks thrown by rival supporters, were treated in local hospitals and released."
1999-05-22T00:00:00Z,"HABIBIE, B J; SUHARTO; JAKARTA (INDONESIA); INDONESIA; ETHICS; DEMONSTRATIONS AND RIOTS",Indonesian Students Agitate for Suharto Trial,AP,article,http://www.nytimes.com/1999/05/22/world/indonesian-students-agitate-for-suharto-trial.html,Foreign Desk,World,"Students threw rocks today and demanded that former President Suharto be tried on charges of corruption as they marched on Parliament on the first anniversary of Mr. Suharto's resignation.    The police fired warning shots and tear gas at 2,000...","Students threw rocks today and demanded that former President Suharto be tried on charges of corruption as they marched on Parliament on the first anniversary of Mr. Suharto's resignation. The police fired warning shots and tear gas at 2,000 protesters in a scene reminiscent of the demonstrations and riots that drove Mr. Suharto from office after 30 years."
1999-05-22T00:00:00Z,,NEWS SUMMARY,The New York Times,article,http://www.nytimes.com/1999/05/22/nyregion/news-summary-817414.html,Metropolitan Desk,New York and Region," INTERNATIONAL   A3-7    Clinton Pushes for Troops Along Kosovo Border  The Clinton Administration announced that the United States would press its allies to move quickly to deploy what was described as a peacekeeping force of about 50,000 troops on...","INTERNATIONAL A3-7 Clinton Pushes for Troops Along Kosovo Border The Clinton Administration announced that the United States would press its allies to move quickly to deploy what was described as a peacekeeping force of about 50,000 troops on the borders of Kosovo. A1 Yugoslavia insisted that it play a central role in negotiations within the United Nations to end the war and provide a political settlement to Kosovo. A7 Rebels fighting for Kosovo's independence claim to have killed a Russian captain in a battle with Serbian troops inside Kosovo, in a development that could complicate Russia's role in the Kosovo crisis. A7 NATO warplanes assigned to attack a military compound in northwestern Kosovo struck what Yugoslavia's official news agency described as a nearby prison, killing at least 19 inmates and guards. A7 Smallpox Elimination Delayed A World Health Organization panel in Geneva effectively decided to postpone eradicating the world's known remaining stocks of the smallpox virus until at least 2002. The recommendation reflected widespread agreement that more time is needed to study smallpox before it is irrevocably destroyed. A3 Indonesian Students Protest Students protested and demanded that former President Suharto be tried on charges of corruption as they marched on Parliament on the first anniversary of Mr. Suharto's resignation. The police fired warning shots and tear gas at 2,000 protesters in a scene reminiscent of the riots that drove Mr. Suharto from office after 30 years. A3 New Bombing Suspect The United States Government has taken another suspect into custody in the continuing investigation of Osama bin Laden, the Saudi exile charged in the bombings of two United States embassies in Africa last year. The suspect, Ihab M. Ali, was charged with perjury on Wednesday after he came to New York City. A4 Germany's Immigration Law Germany adopted an immigration law that will make it easier for many of the country's seven million residents of foreign origin to become citizens. The legislation will go into effect on Jan. 1. A3 World Briefing A4 NATIONAL A8-11, 14 House Democrats Seek Early Vote on Gun Bill House Democrats called for a gun-control vote within the next week, in a move to build on the momentum of the Senate's juvenile crime bill that includes firearms measures. A1 A handful of provisions in the Senate bill may do as much or more to curb the flow of illegal guns than the much debated measures that require child safety locks and background checks at gun shows. A10 Today's graduation at Columbine High School will be broadcast by CNN. The community finds itself struggling with the massacre and with how to reclaim its privacy. A8 Investigators are planning to labor through the summer to determine if any friends of the gunmen in the Columbine school shootings aided them or knew of the attack beforehand. A8 The youth who shot and wounded six students at a school in Conyers, Ga., sat in a juvenile detention center for a second day as investigators continued to search his family's home for clues to his motivation. A8 Fund-Raiser Pleads Guilty Yah Lin Trie, a Democratic fund-raiser and friend of President Clinton, pleaded guilty to two political fund-raising charges and agreed to cooperate with the Justice Department's campaign finance inquiry. A1 A note the Justice Department has obtained from Mr. Trie's Little Rock office suggests he was aware of a bribery problem. A9 Ruling on Medical Marijuana The Administration announced that it would sell Government-grown marijuana to privately financed scientists for research into whether marijuana can help sick people. A11 Reduced Penalty Sought Lawyers for President Clinton asserted in court that he should pay no more than $33,737 in reimbursements to lawyers for Paula Corbin Jones in her sexual harassment lawsuit against Mr. Clinton. The Jones lawyers want $500,000. A14 Genome Project on Schedule The publicly financed effort to decode the human genome is on track to meet its goal of finishing a draft of the genome in a year. A11 NEW YORK/REGION B1-7 Plea Deal Rejected In Police Brutality Case Prosecutors have refused a plea deal sought by the police officer charged with torturing Abner Louima, according to people close to the case. They said that the offer was made and rejected the day after a police sergeant testified that the officer, Justin A. Volpe, had boasted to him that he had committed the torture. A1 Clintons Eye New York Vacation Hillary Rodham Clinton is edging closer to running for the Senate from New York, and the Clintons' choice of summer vacation spot is once again affected by politics. The First Couple are exploring the recreational options across the Empire State. A1 Lucci Wins an Emmy Susan Lucci won the Daytime Emmy award for best actress. The hard-luck soap star, who had been nominated 18 times, was honored for her portrayal of Erica Kane on ''All My Children.'' B4 Religious Rights Violated A Westchester County school district violated its students' First Amendment rights to religious freedom by allowing schools to engage in religious-oriented activities, including the construction of a Hindu god's likeness and New Age prayer recitals at an Earth Day celebration, a Federal judge ruled. B1 Plan to Block Pay Fails A law withholding legislators' pay until a budget is passed is unconstitutional, a Brooklyn judge ruled. The ruling was a blow to an attempt to speed the state's notoriously lethargic budget process. B1 Study on Gambling A commission appointed by President Clinton and Congress is expected to recommend in June that state lotteries curtail advertising in economically distressed communities and contribute to research and treatment for problem gambling. A1 ARTS & IDEAS B9-16 SPORTS D1-10 OBITUARIES C16 BUSINESS DAY C1-16 Phone Company Takeover Olivetti S.p.A., the mid-sized Italian telephone company, grabbed control of the nation's largest phone company, Telecom Italia S.p.A., successfully concluding a bitter three-month corporate battle. C1 Vitamin Cartel Was Secret The chairman and the chief executive of Roche Holding A.G. pronounced themselves blameless for the vitamin cartel uncovered by the Justice Department, even though they have admitted that some senior executives were its ringleaders. C1 Contract Talks Resume T.W.A. and the International Association of Machinists and Aerospace Workers returned to the negotiating table. If the airline and the union are unable to agree to a contract by June 10, the union will be free to walk out. C1 Microsoft Prepares Rebuttal Microsoft deposed Stephen M. Case, chairman of America Online, as part the company's preparations for the rebuttal phase of the antitrust trial against the software giant. C3 Fall in Stock Markets Stocks fell as investors shifted from large companies that gained the most in recent years to laggards, including small stocks and utilities. The Nasdaq slumped 22.09 points, to 2,520.14; the Dow declined 37.46 points, to 10,829.28, and the S. P. 500 slipped 8.54 points, to 1,330.29. C4 Business Digest C1 EDITORIAL A12-13 Editorials: Crunch time for reform; patients for hire, doctors for sale; the Mayor stonewalls, again; Verlyn Klinkenborg on trout. Columns: Anthony Lewis. Bridge B14 TV Listings B16 Crossword B12 Weather D4"
1999-06-04T00:00:00Z,"BARAK, EHUD; WEST BANK; ISRAEL; PALESTINIANS; DEMONSTRATIONS AND RIOTS",Palestinians' 'Day of Rage' Is Punctuated by Calm,The New York Times,article,http://www.nytimes.com/1999/06/04/world/palestinians-day-of-rage-is-punctuated-by-calm.html,Foreign Desk,World,"Hundreds of Palestinians marched down a hilltop here today, trampling though rocks and bramble toward a neighboring, and expanding, Jewish settlement.     Adults waved protest banners and youths swung slingshots loaded with rocks. They hiked...","Hundreds of Palestinians marched down a hilltop here today, trampling though rocks and bramble toward a neighboring, and expanding, Jewish settlement. Adults waved protest banners and youths swung slingshots loaded with rocks. They hiked determinedly toward a line of Israeli soldiers waiting with guns beside a rough road newly plowed by the settlers through the Palestinians' olive fields."
1999-06-11T00:00:00Z,,World Briefing,The New York Times,article,http://www.nytimes.com/1999/06/11/world/world-briefing.html,Foreign Desk,World, ASIA    KOREAS: CONFRONTATION AT SEA -- South Korea said today its patrol ships tried to push North Korean ships out of the South's territorial waters as a standoff in the Yellow Sea entered its fifth day. YTN television reported that South Korean...,"ASIA KOREAS: CONFRONTATION AT SEA -- South Korea said today its patrol ships tried to push North Korean ships out of the South's territorial waters as a standoff in the Yellow Sea entered its fifth day. YTN television reported that South Korean ships had pushed several ships back into North Korean waters. North Korean warships have been sailing into a disputed South Korean buffer zone apparently to protect fishing boats, ministry officials said. North Korea maintains that South Korea is intruding in its waters. (Reuters) KASHMIR: INDIA CONTINUES ATTACKS -- Indian troops continued to shell Islamic militants in Kashmir as India and Pakistan prepared for talks on the issue in New Delhi on Saturday. Voicing concern about the conflict, leading industrial nations urged both countries to sign the international treaty banning nuclear testing. India has been fighting to evict what it says are Pakistan-backed Afghan mercenaries and Pakistani troops from the Indian-controlled part of Kashmir. Pakistan denies its soldiers are involved. (AP)"
1999-06-13T00:00:00Z,"PIRATES OF SILICON VALLEY (TV PROGRAM); JOBS, STEVEN P; TELEVISION; BIOGRAPHICAL INFORMATION; COMPUTERS AND THE INTERNET",Just Wild And Crazy Geeks,The New York Times,article,http://www.nytimes.com/1999/06/13/arts/television-radio-just-wild-and-crazy-geeks.html,Arts and Leisure Desk,Technology; Arts,"THE way TNT's film ''Pirates of Silicon Valley'' tells it, the story of the computer revolution as we know it begins with Steve Jobs and Steve Wozniak running in slow motion through tear gas during a student protest on the Berkeley campus in 1971. Of...","THE way TNT's film ''Pirates of Silicon Valley'' tells it, the story of the computer revolution as we know it begins with Steve Jobs and Steve Wozniak running in slow motion through tear gas during a student protest on the Berkeley campus in 1971. Of course, a chronology that TNT has sent out with publicity releases about the film notes that Mr. Job and Mr. Wozniak didn't meet until 1973, when they were both employees of Hewlett-Packard. But then the film doesn't claim to be a documentary -- or even a docudrama. In it, the real-life events and real characters involved in the early days of the computer age are given the star treatment (as heroes or villains, depending on your perspective). The script also goes beyond the office wars and gets personal about its subjects."
1999-06-17T00:00:00Z,HU ZHIPING; YANG YAOJIN; HUNAN PROVINCE (CHINA); CHINA; AGRICULTURE; FARMERS; BIOGRAPHICAL INFORMATION; DEMONSTRATIONS AND RIOTS,China Arrests 2 Leaders of Farmers' Protest,The New York Times,article,http://www.nytimes.com/1999/06/17/world/china-arrests-2-leaders-of-farmers-protest.html,Foreign Desk,World,"Five months after riot policemen violently dispersed a huge demonstration by angry farmers in the southern province of Hunan, two of the farmers' leaders have been arrested and charged with serious crimes.     The two leaders, Yang Yaojin and Hu...","Five months after riot policemen violently dispersed a huge demonstration by angry farmers in the southern province of Hunan, two of the farmers' leaders have been arrested and charged with serious crimes. The two leaders, Yang Yaojin and Hu Zhiping, had been fugitives since the demonstration in Daolin township on Jan. 8. On that day, thousands of villagers gathered to condemn what they said were illegal taxes and corruption on the part of local Communist Party officials."
1999-06-20T00:00:00Z,COEUR D'ALENE (IDAHO); ATTACKS ON POLICE; AUTOMOBILES; MACE (CHEMICAL); DEMONSTRATIONS AND RIOTS,Police Shoot To Disperse Unruly Crowd At Car Show,AP,article,http://www.nytimes.com/1999/06/20/us/police-shoot-to-disperse-unruly-crowd-at-car-show.html,National Desk,None,"After firing rubber bullets into a disruptive crowd of about 2,000 people at a classic-car show, the police said that the disturbance ended early today.    The trouble began around 11 P.M. on Friday when a multiagency police force tried to close...","After firing rubber bullets into a disruptive crowd of about 2,000 people at a classic-car show, the police said that the disturbance ended early today. The trouble began around 11 P.M. on Friday when a multiagency police force tried to close businesses and block traffic from entering the downtown area after the crowd attending the Car d'Lane Classic Car Cruise became unruly."
1999-06-25T00:00:00Z,"ARISTIDE, JEAN-BERTRAND; HAITI; POLITICS AND GOVERNMENT; ORPHANS AND ORPHANAGES; ELECTIONS",Haiti Gunmen Confront Police At Orphanage,AP,article,http://www.nytimes.com/1999/06/25/world/haiti-gunmen-confront-police-at-orphanage.html,Foreign Desk,World,"Gunmen demanding jobs seized an orphanage run by former President Jean-Bertrand Aristide today, holding it for more than 12 hours before surrendering.    The police fired tear gas over the wall of the Family Is Life center, home to about 300...","Gunmen demanding jobs seized an orphanage run by former President Jean-Bertrand Aristide today, holding it for more than 12 hours before surrendering. The police fired tear gas over the wall of the Family Is Life center, home to about 300 children, to bring the standoff to an end. Officers arrested about 30 of the fleeing attackers, but some gunmen escaped."
1999-07-02T00:00:00Z,INDONESIA; DEMONSTRATIONS AND RIOTS; ELECTIONS,15 Hurt at Protest Over Indonesia Elections,AP,article,http://www.nytimes.com/1999/07/02/world/15-hurt-at-protest-over-indonesia-elections.html,Foreign Desk,World,"At least 15 people were injured today when riot police firing warning shots and tear gas dispersed 1,500 demonstrators in front of the Indonesian Election Commission.     It was the worst outbreak of street violence in Indonesia since a landmark vote...","At least 15 people were injured today when riot police firing warning shots and tear gas dispersed 1,500 demonstrators in front of the Indonesian Election Commission. It was the worst outbreak of street violence in Indonesia since a landmark vote last month."
1999-07-03T00:00:00Z,FEDERAL BUREAU OF INVESTIGATION; BIOLOGICAL AND CHEMICAL WARFARE; BOMBS AND EXPLOSIVES; TERRORISM,Readying Emergency Teams for Terrorist Attacks,The New York Times,article,http://www.nytimes.com/1999/07/03/us/readying-emergency-teams-for-terrorist-attacks.html,National Desk,U.S.,"As a paramedic on the Jefferson County disaster response team, Rick Robbins is typically called on to handle chemical spills and rescues. He has never encountered CS, a powerful kind of tear gas, on the job.    ''And I don't want to, either,'' said...","As a paramedic on the Jefferson County disaster response team, Rick Robbins is typically called on to handle chemical spills and rescues. He has never encountered CS, a powerful kind of tear gas, on the job. ''And I don't want to, either,'' said Mr. Robbins as he and a handful of his comrades were trained by a Federal expert in how to use a sampling kit to detect the tear gas and other poisons that can be spread through the air."
1999-07-03T00:00:00Z,"YESHITELA, OMALI; ST PETERSBURG (FLA); CITY COUNCILS; BLACKS",Effort to Heal Old Racial Wounds Brings New Discord,The New York Times,article,http://www.nytimes.com/1999/07/03/us/effort-to-heal-old-racial-wounds-brings-new-discord.html,National Desk,U.S.,"The painting had hung in St. Petersburg City Hall all of Joe Waller's life, an eight-foot-long racial caricature that showed black people happily entertaining white picnickers. Every time Mr. Waller, a young black man,  saw it, anger and humiliation...","The painting had hung in St. Petersburg City Hall all of Joe Waller's life, an eight-foot-long racial caricature that showed black people happily entertaining white picnickers. Every time Mr. Waller, a young black man, saw it, anger and humiliation scorched him deep inside. In December 1966, he tore it down. With police officers in pursuit, he ran through St. Petersburg's downtown, the ripped painting flapping in his clenched fists like the captured flag of some oppressive government. To him, it was."
1999-07-04T00:00:00Z,"HUTTO, LEONARD; CONGO (FORMERLY ZAIRE); ANGOLA; NIGERIA; CHEVRON CORP; OIL (PETROLEUM) AND GASOLINE",Deep in The Republic Of Chevron,The New York Times,article,http://www.nytimes.com/1999/07/04/magazine/deep-in-the-republic-of-chevron.html,Magazine Desk,Magazine,"The delta region of southern Nigeria, where the mighty Niger River drains into the Atlantic Ocean, includes some of the most inhospitable territory on earth. It's the world's largest mangrove swamp, 14,000 square miles of thickets, channels and...","The delta region of southern Nigeria, where the mighty Niger River drains into the Atlantic Ocean, includes some of the most inhospitable territory on earth. It's the world's largest mangrove swamp, 14,000 square miles of thickets, channels and lagoons all but impenetrable to any but the most practiced eye. It's also oil country, dotted with wells and flow stations, where about two million barrels of crude are collected each day and piped to central stations for transport abroad. Helicopter is the preferred mode of transport, for the lucky few who can afford it. One of those is Leonard Hutto, the superintendent of Chevron's operations in the eastern Niger Delta, and on this day it was his chopper that hovered tentatively above one of Chevron's 30-odd oil stations in the area. The landing pad, a few hundred feet below, was thronged with hundreds of angry young Nigerians peering up at the midmorning sky, clearly shouting and shaking their fists. Seeing that they did not have guns, Hutto finally told the pilot to land."
1999-07-08T00:00:00Z,,World Briefing,The New York Times,article,http://www.nytimes.com/1999/07/08/world/world-briefing.html,Foreign Desk,World," THE AMERICAS    COLOMBIA: REBEL LEADERS INDICTED -- After formal peace talks that were to begin on Wednesday were delayed for two weeks, prosecutors indicted the seven leaders and five lower-ranking commanders of the nation's largest guerrilla...","THE AMERICAS COLOMBIA: REBEL LEADERS INDICTED -- After formal peace talks that were to begin on Wednesday were delayed for two weeks, prosecutors indicted the seven leaders and five lower-ranking commanders of the nation's largest guerrilla faction, the Revolutionary Armed Forces of Colombia on charges of homicide and kidnapping in a 1996 attack on an army base. To avoid affecting the peace talks, prosecutors suspended arrest orders against negotiators who were indicted. (AP)"
1999-07-08T00:00:00Z,"MILOSEVIC, SLOBODAN; KOSOVO (SERBIA); SERBIA; LESKOVAC (SERBIA); NORTH ATLANTIC TREATY ORGANIZATION; UNITED STATES INTERNATIONAL RELATIONS; POLITICS AND GOVERNMENT; DEMONSTRATIONS AND RIOTS; UNITED STATES ARMAMENT AND DEFENSE",Trouble in the Backyard,The New York Times,article,http://www.nytimes.com/1999/07/08/world/trouble-in-the-backyard.html,Foreign Desk,World; Front Page; Washington,"More quickly than the political opponents of Slobodan Milosevic had dared hope, grass-roots dissatisfaction with the Yugoslav President is surfacing across much of Serbia.     Hostility toward Mr. Milosevic, bubbling up this week on the streets of...","More quickly than the political opponents of Slobodan Milosevic had dared hope, grass-roots dissatisfaction with the Yugoslav President is surfacing across much of Serbia. Hostility toward Mr. Milosevic, bubbling up this week on the streets of the most unlikely of towns, has raised expectations among opposition politicians that Mr. Milosevic's survival in power might now be measured not in years, but in months."
1999-07-10T00:00:00Z,IRAN; TEHERAN UNIVERSITY; FREEDOM OF THE PRESS; DEMONSTRATIONS AND RIOTS,Iran Students and Police Clash Over Press Curbs,Agence France-Presse,article,http://www.nytimes.com/1999/07/10/world/iran-students-and-police-clash-over-press-curbs.html,Foreign Desk,World,"Iranian students were in a tense stand-off with security forces tonight after protests against curbs on press freedoms led to violent clashes, for which the Higher Education Ministry quickly blamed the police.    The students, hunkered down in...","Iranian students were in a tense stand-off with security forces tonight after protests against curbs on press freedoms led to violent clashes, for which the Higher Education Ministry quickly blamed the police. The students, hunkered down in Teheran University dormitories surrounded by hundreds of riot policemen and stick-wielding Islamic militants, demanded a personal visit from President Mohammad Khatami to resolve the dispute."
1999-07-10T00:00:00Z,"FREEDOM OF THE CITY, THE (PLAY); FRIEL, BRIAN; REVIEWS; LINCOLN CENTER FESTIVAL; THEATER",They Sought Change and Found Death,The New York Times,article,http://www.nytimes.com/1999/07/10/theater/theater-review-they-sought-change-and-found-death.html,Arts & Ideas/Cultural Desk,Arts; Theater,"It has been almost 30 years now since a night of deadly rioting in Belfast prompted Britain to send in army troops to try to restore order in Northern Ireland. Since then at least 3,200 people, many of whom were simply caught in the crossfire, have...","It has been almost 30 years now since a night of deadly rioting in Belfast prompted Britain to send in army troops to try to restore order in Northern Ireland. Since then at least 3,200 people, many of whom were simply caught in the crossfire, have been killed. In ''The Freedom of the City,'' whose evocative revival is being presented as part of Lincoln Center Festival '99, the Irish playwright Brian Friel tells the fictional story of three of them. The conflict known as ''the Troubles'' has provided at least a subtext for much of Irish literature, especially that written for the stage, over the last three decades. In Mr. Friel's ''Aristocrats,'' which is also being staged by the Gate Theater during the festival, and in ''Translations,'' the plight of a people at the mercy of powers beyond their control runs between the lines. But in ''The Freedom of the City,'' which concerns three ordinary protest marchers who accidentally occupy Derry's Guildhall and end up being gunned down as ''terrorists,'' Mr. Friel openly addresses the strife that at the time of its writing had just come to full boil."
1999-07-10T00:00:00Z,"FARMER, JAMES; BLACKS; BIOGRAPHICAL INFORMATION; DEATHS (OBITUARIES)","James Farmer, Civil Rights Giant In the 50's and 60's, Is Dead at 79",The New York Times,article,http://www.nytimes.com/1999/07/10/us/james-farmer-civil-rights-giant-in-the-50-s-and-60-s-is-dead-at-79.html,National Desk,Front Page; U.S.; Obituaries,"James Farmer, a principal founder of the Congress of Racial Equality and the last survivor of the ''Big Four'' who shaped the civil-rights struggle in the United States in the mid-1950's and 60's, died yesterday at Mary Washington Hospital, in...","James Farmer, a principal founder of the Congress of Racial Equality and the last survivor of the ''Big Four'' who shaped the civil-rights struggle in the United States in the mid-1950's and 60's, died yesterday at Mary Washington Hospital, in Fredericksburg, Va., where he lived. He was 79. Mr. Farmer had been in failing health for years, losing his sight and both his legs to severe diabetes."
1999-07-11T00:00:00Z,"MILOSEVIC, SLOBODAN; BELGRADE (SERBIA); SERBIA; POLITICS AND GOVERNMENT",Belgrade's Bitter People Shun Protests for Now,The New York Times,article,http://www.nytimes.com/1999/07/11/world/belgrade-s-bitter-people-shun-protests-for-now.html,Foreign Desk,World,"During his 12 years in power, whenever Slobodan Milosevic has been on the ropes, most of the punches have been thrown here in the Serbian capital.     This is where the Serbian leader called out Yugoslav Army tanks and used tear gas eight years ago...","During his 12 years in power, whenever Slobodan Milosevic has been on the ropes, most of the punches have been thrown here in the Serbian capital. This is where the Serbian leader called out Yugoslav Army tanks and used tear gas eight years ago to put down a violent demonstration against state-controlled television, the key lever in his control of public opinion. It was here that the depth of urban middle-class revulsion with Mr. Milosevic's rule was shown to the world in three solid months of daily street demonstrations in the winter of 1996-97."
